,tipo,ordem_dia,data,cd_geocmu,municipios,confirmados,li_80,ls_80,li_95,ls_95
183,Obs,1,2020-04-03,5203500,BOM JESUS DE GOIÁS,1,NA,NA,NA,NA
184,Obs,3,2020-04-03,5204607,CAMPESTRE DE GOIÁS,1,NA,NA,NA,NA
185,Obs,13,2020-04-03,5205109,CATALÃO,1,NA,NA,NA,NA
186,Obs,3,2020-04-03,5205497,CIDADE OCIDENTAL,1,NA,NA,NA,NA
187,Obs,7,2020-04-03,5208608,GOIANÉSIA,1,NA,NA,NA,NA
188,Obs,17,2020-04-03,5208707,GOIÂNIA,50,NA,NA,NA,NA
189,Obs,5,2020-04-03,5211503,ITUMBIARA,2,NA,NA,NA,NA
190,Obs,17,2020-04-03,5211909,JATAÍ,2,NA,NA,NA,NA
191,Obs,10,2020-04-03,5212501,LUZIÂNIA,1,NA,NA,NA,NA
192,Obs,1,2020-04-03,5215009,NOVA VENEZA,1,NA,NA,NA,NA
193,Obs,4,2020-04-03,5216304,PARANAIGUARA,1,NA,NA,NA,NA
194,Obs,17,2020-04-03,5218805,RIO VERDE,7,NA,NA,NA,NA
195,Obs,1,2020-04-03,5220108,SÃO LUÍS DE MONTES BELOS,1,NA,NA,NA,NA
196,Obs,1,2020-04-03,5220454,SENADOR CANEDO,1,NA,NA,NA,NA
197,Obs,10,2020-04-03,5220603,SILVÂNIA,1,NA,NA,NA,NA
198,Obs,3,2020-04-03,5221403,TRINDADE,1,NA,NA,NA,NA
199,Obs,11,2020-04-03,5221858,VALPARAÍSO DE GOIÁS,5,NA,NA,NA,NA
200,Obs,17,2020-04-03,5300108,BRASÍLIA,422,NA,NA,NA,NA
201,Obs,18,2020-04-04,52,GOIÁS,103,NA,NA,NA,NA
202,Obs,8,2020-04-04,5200258,ÁGUAS LINDAS DE GOIÁS,1,NA,NA,NA,NA
203,Obs,18,2020-04-04,5201108,ANÁPOLIS,6,NA,NA,NA,NA
204,Obs,18,2020-04-04,5201405,APARECIDA DE GOIÂNIA,1,NA,NA,NA,NA
205,Obs,2,2020-04-04,5203500,BOM JESUS DE GOIÁS,1,NA,NA,NA,NA
206,Obs,4,2020-04-04,5204607,CAMPESTRE DE GOIÁS,1,NA,NA,NA,NA
207,Obs,14,2020-04-04,5205109,CATALÃO,1,NA,NA,NA,NA
208,Obs,4,2020-04-04,5205497,CIDADE OCIDENTAL,1,NA,NA,NA,NA
209,Obs,8,2020-04-04,5208608,GOIANÉSIA,1,NA,NA,NA,NA
210,Obs,18,2020-04-04,5208707,GOIÂNIA,65,NA,NA,NA,NA
211,Obs,6,2020-04-04,5211503,ITUMBIARA,2,NA,NA,NA,NA
212,Obs,18,2020-04-04,5211909,JATAÍ,2,NA,NA,NA,NA
213,Obs,11,2020-04-04,5212501,LUZIÂNIA,1,NA,NA,NA,NA
214,Obs,2,2020-04-04,5215009,NOVA VENEZA,1,NA,NA,NA,NA
215,Obs,5,2020-04-04,5216304,PARANAIGUARA,1,NA,NA,NA,NA
216,Obs,18,2020-04-04,5218805,RIO VERDE,7,NA,NA,NA,NA
217,Obs,2,2020-04-04,5220108,SÃO LUÍS DE MONTES BELOS,1,NA,NA,NA,NA
218,Obs,2,2020-04-04,5220454,SENADOR CANEDO,1,NA,NA,NA,NA
219,Obs,11,2020-04-04,5220603,SILVÂNIA,1,NA,NA,NA,NA
220,Obs,4,2020-04-04,5221403,TRINDADE,1,NA,NA,NA,NA
221,Obs,12,2020-04-04,5221858,VALPARAÍSO DE GOIÁS,5,NA,NA,NA,NA
222,Obs,18,2020-04-04,5300108,BRASÍLIA,441,NA,NA,NA,NA
223,Obs,19,2020-04-05,52,GOIÁS,115,NA,NA,NA,NA
224,Obs,9,2020-04-05,5200258,ÁGUAS LINDAS DE GOIÁS,1,NA,NA,NA,NA
225,Obs,19,2020-04-05,5201108,ANÁPOLIS,8,NA,NA,NA,NA
226,Obs,19,2020-04-05,5201405,APARECIDA DE GOIÂNIA,1,NA,NA,NA,NA
227,Obs,3,2020-04-05,5203500,BOM JESUS DE GOIÁS,1,NA,NA,NA,NA
228,Obs,5,2020-04-05,5204607,CAMPESTRE DE GOIÁS,1,NA,NA,NA,NA
229,Obs,15,2020-04-05,5205109,CATALÃO,1,NA,NA,NA,NA
230,Obs,5,2020-04-05,5205497,CIDADE OCIDENTAL,1,NA,NA,NA,NA
231,Obs,9,2020-04-05,5208608,GOIANÉSIA,1,NA,NA,NA,NA
232,Obs,19,2020-04-05,5208707,GOIÂNIA,73,NA,NA,NA,NA
233,Obs,7,2020-04-05,5211503,ITUMBIARA,2,NA,NA,NA,NA
234,Obs,19,2020-04-05,5211909,JATAÍ,3,NA,NA,NA,NA
235,Obs,12,2020-04-05,5212501,LUZIÂNIA,1,NA,NA,NA,NA
236,Obs,3,2020-04-05,5215009,NOVA VENEZA,1,NA,NA,NA,NA
237,Obs,6,2020-04-05,5216304,PARANAIGUARA,1,NA,NA,NA,NA
238,Obs,19,2020-04-05,5218805,RIO VERDE,8,NA,NA,NA,NA
239,Obs,3,2020-04-05,5220108,SÃO LUÍS DE MONTES BELOS,1,NA,NA,NA,NA
240,Obs,3,2020-04-05,5220454,SENADOR CANEDO,1,NA,NA,NA,NA
241,Obs,12,2020-04-05,5220603,SILVÂNIA,1,NA,NA,NA,NA
242,Obs,5,2020-04-05,5221403,TRINDADE,1,NA,NA,NA,NA
243,Obs,13,2020-04-05,5221858,VALPARAÍSO DE GOIÁS,5,NA,NA,NA,NA
244,Obs,19,2020-04-05,5300108,BRASÍLIA,464,NA,NA,NA,NA
245,Prev,20,2020-04-06,52,GOIÁS,130,103,156,88,169
246,Prev,21,2020-04-07,52,GOIÁS,145,108,184,90,206
247,Prev,22,2020-04-08,52,GOIÁS,163,114,215,93,250
248,Prev,23,2020-04-09,52,GOIÁS,183,121,252,99,298
249,Prev,24,2020-04-10,52,GOIÁS,206,130,293,105,348
250,Prev,20,2020-04-06,5201108,ANÁPOLIS,7,6,9,5,10
251,Prev,21,2020-04-07,5201108,ANÁPOLIS,8,6,9,5,10
252,Prev,22,2020-04-08,5201108,ANÁPOLIS,8,7,10,6,11
253,Prev,23,2020-04-09,5201108,ANÁPOLIS,9,7,11,6,12
254,Prev,24,2020-04-10,5201108,ANÁPOLIS,10,8,12,7,13
255,Prev,20,2020-04-06,5201405,APARECIDA DE GOIÂNIA,2,2,3,1,4
256,Prev,21,2020-04-07,5201405,APARECIDA DE GOIÂNIA,2,1,3,1,4
257,Prev,22,2020-04-08,5201405,APARECIDA DE GOIÂNIA,2,1,3,1,4
258,Prev,23,2020-04-09,5201405,APARECIDA DE GOIÂNIA,2,1,3,1,4
259,Prev,24,2020-04-10,5201405,APARECIDA DE GOIÂNIA,2,1,3,1,4
260,Prev,20,2020-04-06,5208707,GOIÂNIA,84,62,106,51,118
261,Prev,21,2020-04-07,5208707,GOIÂNIA,95,61,134,46,157
262,Prev,22,2020-04-08,5208707,GOIÂNIA,108,62,163,45,198
263,Prev,23,2020-04-09,5208707,GOIÂNIA,123,63,196,44,251
264,Prev,24,2020-04-10,5208707,GOIÂNIA,140,65,233,45,313
265,Prev,20,2020-04-06,5211909,JATAÍ,3,3,4,2,4
266,Prev,21,2020-04-07,5211909,JATAÍ,3,3,4,2,5
267,Prev,22,2020-04-08,5211909,JATAÍ,4,3,4,2,5
268,Prev,23,2020-04-09,5211909,JATAÍ,4,3,5,3,5
269,Prev,24,2020-04-10,5211909,JATAÍ,4,3,5,3,5
270,Prev,20,2020-04-06,5218805,RIO VERDE,8,7,9,6,10
271,Prev,21,2020-04-07,5218805,RIO VERDE,8,7,9,6,10
272,Prev,22,2020-04-08,5218805,RIO VERDE,8,7,10,6,11
273,Prev,23,2020-04-09,5218805,RIO VERDE,8,6,10,6,11
274,Prev,24,2020-04-10,5218805,RIO VERDE,8,6,11,5,12
275,Prev,20,2020-04-06,5300108,BRASÍLIA,503,321,684,221,776
276,Prev,21,2020-04-07,5300108,BRASÍLIA,545,282,825,171,1027
277,Prev,22,2020-04-08,5300108,BRASÍLIA,591,250,984,142,1295
278,Prev,23,2020-04-09,5300108,BRASÍLIA,640,226,1132,120,1559
279,Prev,24,2020-04-10,5300108,BRASÍLIA,693,213,1305,108,1814
280,Prev,16,2020-04-06,5205109,CATALÃO,2,1,2,1,2
281,Prev,17,2020-04-07,5205109,CATALÃO,2,1,2,1,2
282,Prev,18,2020-04-08,5205109,CATALÃO,2,1,2,1,2
283,Prev,19,2020-04-09,5205109,CATALÃO,2,1,2,1,2
284,Prev,20,2020-04-10,5205109,CATALÃO,2,1,2,1,2
285,Prev,14,2020-04-06,5221858,VALPARAÍSO DE GOIÁS,7,5,8,4,9
286,Prev,15,2020-04-07,5221858,VALPARAÍSO DE GOIÁS,7,6,9,5,10
287,Prev,16,2020-04-08,5221858,VALPARAÍSO DE GOIÁS,8,6,10,5,11
288,Prev,17,2020-04-09,5221858,VALPARAÍSO DE GOIÁS,9,7,12,6,13
289,Prev,18,2020-04-10,5221858,VALPARAÍSO DE GOIÁS,10,8,13,6,14
290,Prev,13,2020-04-06,5212501,LUZIÂNIA,2,1,2,1,2
291,Prev,14,2020-04-07,5212501,LUZIÂNIA,2,1,2,1,2
292,Prev,15,2020-04-08,5212501,LUZIÂNIA,2,1,2,1,2
293,Prev,16,2020-04-09,5212501,LUZIÂNIA,2,1,2,1,2
294,Prev,17,2020-04-10,5212501,LUZIÂNIA,2,1,2,1,2
295,Prev,13,2020-04-06,5220603,SILVÂNIA,2,1,2,1,2
296,Prev,14,2020-04-07,5220603,SILVÂNIA,2,1,2,1,2
297,Prev,15,2020-04-08,5220603,SILVÂNIA,2,1,2,1,2
298,Prev,16,2020-04-09,5220603,SILVÂNIA,2,1,2,1,2
299,Prev,17,2020-04-10,5220603,SILVÂNIA,2,1,2,1,2
300,Prev,10,2020-04-06,5200258,ÁGUAS LINDAS DE GOIÁS,1,1,1,1,1
301,Prev,11,2020-04-07,5200258,ÁGUAS LINDAS DE GOIÁS,1,1,1,1,1
302,Prev,12,2020-04-08,5200258,ÁGUAS LINDAS DE GOIÁS,1,1,1,1,1
303,Prev,13,2020-04-09,5200258,ÁGUAS LINDAS DE GOIÁS,1,1,1,1,1
304,Prev,14,2020-04-10,5200258,ÁGUAS LINDAS DE GOIÁS,1,1,1,1,1
305,Prev,10,2020-04-06,5208608,GOIANÉSIA,1,1,1,1,1
306,Prev,11,2020-04-07,5208608,GOIANÉSIA,1,1,1,1,1
307,Prev,12,2020-04-08,5208608,GOIANÉSIA,1,1,1,1,1
308,Prev,13,2020-04-09,5208608,GOIANÉSIA,1,1,1,1,1
309,Prev,14,2020-04-10,5208608,GOIANÉSIA,1,1,1,1,1
310,Prev,8,2020-04-06,5211503,ITUMBIARA,2,2,2,2,2
311,Prev,9,2020-04-07,5211503,ITUMBIARA,2,2,2,2,2
312,Prev,10,2020-04-08,5211503,ITUMBIARA,2,2,2,2,2
313,Prev,11,2020-04-09,5211503,ITUMBIARA,2,2,2,2,2
314,Prev,12,2020-04-10,5211503,ITUMBIARA,2,2,2,2,2
315,Prev,7,2020-04-06,5216304,PARANAIGUARA,1,1,1,1,1
316,Prev,8,2020-04-07,5216304,PARANAIGUARA,1,1,1,1,1
317,Prev,9,2020-04-08,5216304,PARANAIGUARA,1,1,1,1,1
318,Prev,10,2020-04-09,5216304,PARANAIGUARA,1,1,1,1,1
319,Prev,11,2020-04-10,5216304,PARANAIGUARA,1,1,1,1,1
320,Prev,2,2020-04-02,5204508,CALDAS NOVAS,NA,NA,NA,NA,NA
321,Prev,3,2020-04-03,5204508,CALDAS NOVAS,NA,NA,NA,NA,NA
322,Prev,4,2020-04-04,5204508,CALDAS NOVAS,NA,NA,NA,NA,NA
323,Prev,5,2020-04-05,5204508,CALDAS NOVAS,NA,NA,NA,NA,NA
324,Prev,6,2020-04-06,5204508,CALDAS NOVAS,NA,NA,NA,NA,NA
325,Prev,6,2020-04-06,5204607,CAMPESTRE DE GOIÁS,1,1,1,1,1
326,Prev,7,2020-04-07,5204607,CAMPESTRE DE GOIÁS,1,1,1,1,1
327,Prev,8,2020-04-08,5204607,CAMPESTRE DE GOIÁS,1,1,1,1,1
328,Prev,9,2020-04-09,5204607,CAMPESTRE DE GOIÁS,1,1,1,1,1
329,Prev,10,2020-04-10,5204607,CAMPESTRE DE GOIÁS,1,1,1,1,1
330,Prev,6,2020-04-06,5205497,CIDADE OCIDENTAL,1,1,1,1,1
331,Prev,7,2020-04-07,5205497,CIDADE OCIDENTAL,1,1,1,1,1
332,Prev,8,2020-04-08,5205497,CIDADE OCIDENTAL,1,1,1,1,1
333,Prev,9,2020-04-09,5205497,CIDADE OCIDENTAL,1,1,1,1,1
334,Prev,10,2020-04-10,5205497,CIDADE OCIDENTAL,1,1,1,1,1
335,Prev,6,2020-04-06,5221403,TRINDADE,1,1,1,1,1
336,Prev,7,2020-04-07,5221403,TRINDADE,1,1,1,1,1
337,Prev,8,2020-04-08,5221403,TRINDADE,1,1,1,1,1
338,Prev,9,2020-04-09,5221403,TRINDADE,1,1,1,1,1
339,Prev,10,2020-04-10,5221403,TRINDADE,1,1,1,1,1
340,Prev,4,2020-04-06,5203500,BOM JESUS DE GOIÁS,NA,NA,NA,NA,NA
341,Prev,5,2020-04-07,5203500,BOM JESUS DE GOIÁS,NA,NA,NA,NA,NA
342,Prev,6,2020-04-08,5203500,BOM JESUS DE GOIÁS,NA,NA,NA,NA,NA
343,Prev,7,2020-04-09,5203500,BOM JESUS DE GOIÁS,NA,NA,NA,NA,NA
344,Prev,8,2020-04-10,5203500,BOM JESUS DE GOIÁS,NA,NA,NA,NA,NA
345,Prev,4,2020-04-06,5215009,NOVA VENEZA,NA,NA,NA,NA,NA
346,Prev,5,2020-04-07,5215009,NOVA VENEZA,NA,NA,NA,NA,NA
347,Prev,6,2020-04-08,5215009,NOVA VENEZA,NA,NA,NA,NA,NA
348,Prev,7,2020-04-09,5215009,NOVA VENEZA,NA,NA,NA,NA,NA
349,Prev,8,2020-04-10,5215009,NOVA VENEZA,NA,NA,NA,NA,NA
350,Prev,4,2020-04-06,5220108,SÃO LUÍS DE MONTES BELOS,NA,NA,NA,NA,NA
351,Prev,5,2020-04-07,5220108,SÃO LUÍS DE MONTES BELOS,NA,NA,NA,NA,NA
352,Prev,6,2020-04-08,5220108,SÃO LUÍS DE MONTES BELOS,NA,NA,NA,NA,NA
353,Prev,7,2020-04-09,5220108,SÃO LUÍS DE MONTES BELOS,NA,NA,NA,NA,NA
354,Prev,8,2020-04-10,5220108,SÃO LUÍS DE MONTES BELOS,NA,NA,NA,NA,NA
355,Prev,4,2020-04-06,5220454,SENADOR CANEDO,NA,NA,NA,NA,NA
356,Prev,5,2020-04-07,5220454,SENADOR CANEDO,NA,NA,NA,NA,NA
357,Prev,6,2020-04-08,5220454,SENADOR CANEDO,NA,NA,NA,NA,NA
358,Prev,7,2020-04-09,5220454,SENADOR CANEDO,NA,NA,NA,NA,NA
359,Prev,8,2020-04-10,5220454,SENADOR CANEDO,NA,NA,NA,NA,NA